timestamp,suite,engine,case_id,operation,loops,total_ms,avg_ms,expected,actual,status
"20260412 12:40:42","accuracy","hbnum","ACC_ADD_CARRY","add","1","0","0.00","1000000000000000000000000000000","1000000000000000000000000000000","PASS"
"20260412 12:40:42","accuracy","hbnum","ACC_SUB_NEG","sub","1","0","0.00","-10000000000000000000","-10000000000000000000","PASS"
"20260412 12:40:42","accuracy","hbnum","ACC_MUL","mul","1","0","0.00","121932631112635269","121932631112635269","PASS"
"20260412 12:40:42","accuracy","hbnum","ACC_DIV_EXACT","div","1","0","0.00","12","12","PASS"
"20260412 12:40:42","accuracy","hbnum","ACC_MOD","mod","1","0","0.00","1","1","PASS"
"20260412 12:40:42","accuracy","hbnum","ACC_POWINT","powint","1","0","0.00","4294967296","4294967296","PASS"
"20260412 12:40:42","accuracy","hbnum","ACC_GCD","gcd","1","0","0.00","90","90","PASS"
"20260412 12:40:42","accuracy","hbnum","ACC_LCM","lcm","1","0","0.00","42","42","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_ADD_CARRY","add","1","0","0.00","1000000000000000000000000000000","HBNum=1000000000000000000000000000000; tBig=1000000000000000000000000000000","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_SUB_NEG","sub","1","0","0.00","-10000000000000000000","HBNum=-10000000000000000000; tBig=-10000000000000000000","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_MUL","mul","1","0","0.00","121932631112635269","HBNum=121932631112635269; tBig=121932631112635269","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_DIV_EXACT","div","1","0","0.00","12","HBNum=12; tBig=12","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_MOD","mod","1","0","0.00","1","HBNum=1; tBig=1","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_POWINT","powint","1","2","2.00","4294967296","HBNum=4294967296; tBig=4294967296","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_GCD","gcd","1","6","6.00","90","HBNum=90; tBig=90","PASS"
"20260412 12:40:42","accuracy_compare","hbnum_vs_tbig","ACC_LCM","lcm","1","0","0.00","42","HBNum=42; tBig=42","PASS"
